from	to	type	low	high	weight
R	Chimp_REF	edge	0.07721114195505012	0.07972530144905927	0.07838286033191151
R	Rr	edge	0.07721114195504943	0.07972530144905654	0.07838286033191053
Rr	Rrllrl	edge	3.793474841764469e-4	0.0014830623354268792	9.62526597249612e-4
Rr	Rrlrrr	edge	4.8350094353450854e-4	0.0015144185248648593	9.73539114725661e-4
Rrl	Ethiopia_Amhara	edge	-1.0532870441403651e-19	1.3006686552361352e-19	8.937888019964352e-21
Rrl	Rrll	edge	0.002486658918923838	0.0033997279374724946	0.002970029808499585
Rrll	Rrlln	edge	0	8.064651538987866e-4	3.7341370802018394e-4
Rrll	Rrlrrrejr	edge	0.02909158832656061	0.032811625766630236	0.0309365058685584
Rrlll	Rrllll	edge	9.190499761640182e-4	0.0012169284290087896	0.001076450097577063
Rrlll	Yemen_Yemeni	edge	5.183265976458719e-4	9.158923191772614e-4	7.114345517192124e-4
Rrllll	Lebanon_LebaneseMuslim	edge	-1.2348456008026079e-20	2.9792951161851026e-20	1.0931204397065063e-7
Rrllll	Rrlllr	edge	0.001563036139873939	0.0018568049827475488	0.001688806869019589
Rrlllr	Europe_IBS	edge	2.437188785347181e-4	6.093030582946626e-4	4.2700337779985647e-4
Rrlllr	Europe_TSI	edge	-2.807563207496256e-20	3.2225399176888305e-5	3.5013884513891924e-6
Rrlllrh	Morocco_BerberBouhria	edge	-1.3357120422732327e-19	1.4431602297796824e-19	5.508646480637542e-21
Rrlllrh	Rrllr	edge	8.373732119699318e-4	0.0011755889017074682	0.0010234584721130883
Rrlln	Rrlllrh	edge	9.864808146535801e-4	0.001813453767963928	0.0014364610235808322
Rrlln	admixb	admix	0.3815690004000288	0.4153875673266048	0.39898540290650303
Rrllr	Egypt_Egyptian	edge	-5.236742178962025e-20	7.995271959638434e-20	4.82971868859415e-21
Rrllr	Rrlll	edge	4.934566412182277e-4	7.657251435801334e-4	6.311872194799999e-4
Rrllrl	aDNA_Cameroon_SMA	edge	0.015525399995771945	0.017759305984876204	0.01664357298450382
Rrllrl	admix	edge	0.0050725619017536385	0.0058917779365203265	0.005472420654898331
Rrlr	Ethiopia_Oromo	edge	-2.380097126475923e-19	2.4899520706965653e-19	1.6219973144907465e-20
Rrlr	Rrl	edge	9.789929505669413e-4	0.00129595925493103	0.0011332614790006547
Rrlrl	Gambia_GWD	edge	0	2.7553539097484737e-4	9.032467193915629e-5
Rrlrl	Rrlrr	edge	0	5.061232629869918e-4	2.1145935899204382e-4
Rrlrlr	aDNA_Morocco_EN.SG	edge	0.09602174652243234	0.10201318694787764	0.0991070083044062
Rrlrlr	aDNA_Morocco_Epipalaeolithic	edge	0.11834136292157957	0.12504257140556577	0.1215585951559798
Rrlrr	Senegal_Bedik	edge	0.0013184031104808709	0.0018834689609464642	0.0015973918774036902
Rrlrr	admixb	admix	0.5846124326733951	0.6184309995999712	0.601014597093497
Rrlrrr	Nigeria_YRI	edge	9.239825864696234e-4	0.001297624126959817	0.001110301965173789
Rrlrrr	Rrlrl	edge	5.812819524820034e-4	9.266215504082464e-4	7.247268114213038e-4
Rrlrrrejr	Rrlrlr	edge	0.0030259870558591185	0.008527123396624084	0.005686409199910713
Rrlrrrejr	aDNA_Morocco_Iberomaurusian	edge	0.0181677207355328	0.022490923840087395	0.02031883388773444
admix	Chad_Daza	edge	0.001078048365705454	0.0015858020319762934	0.0013291934548676104
admix	Rrlr	edge	0.004585651094598776	0.005149687706548511	0.004861715555305906
admixb	BurkinaFaso_Fulani_Banfora	edge	0.004447229269525744	0.005209440865795188	0.004814006401647339
