from	to	type	low	high	weight
Mauritania_Fulani_Assaba_w	Gambia_GWD	edge	-1.8215665065788846e-21	1.8451109227980584e-4	5.631561997500839e-5
Mauritania_Fulani_Assaba_w	admixs	admix	0.6707834356594713	0.7043270896852265	0.6891466145981545
R	Chimp_REF	edge	0.07427117859125112	0.07653382221280591	0.07534595522758752
R	Rs	edge	0.07427117859125117	0.07653382221280504	0.07534595522758672
Rrll	Nigeria_YRI	edge	7.140510746372606e-4	0.0013069646271910156	0.0010008737686352024
Rrll	Rrllrl	edge	5.6784605484799394e-21	5.318729842528106e-4	2.5964695282870985e-4
Rrlll	Rrllllp	edge	0.005094300598301649	0.0074593049216744095	0.006173339631603533
Rrlll	Rrllrrr_g	edge	0.0012735646962556847	0.0020022194100684076	0.001649850481588265
Rrllll	Ethiopia_Amhara	edge	-1.3925661644114197e-19	6.140386233481544e-20	-3.767899482016296e-21
Rrllll	Rrlll	edge	0.0028363516541379525	0.0035917746914511627	0.003203533967065223
Rrllllp	Rrr	edge	0.024933138168620146	0.029037249650060434	0.02725826118951652
Rrllllp	admixs	admix	0.2956729103147735	0.3292165643405287	0.3108533854018455
Rrllrl	Senegal_Bedik_m	edge	6.812901965859379e-4	0.0010053305410600215	8.427699691829664e-4
Rrllrl	admixi	edge	0.006721147265178999	0.007260822368555385	0.006939256585441225
Rrllrr_sf	Ethiopia_Oromo	edge	-1.5233598911992854e-19	7.81345085228758e-20	-2.6957420798425102e-21
Rrllrr_sf	Rrllll	edge	9.166957870399057e-4	0.0012581132368775603	0.0010939567699896158
Rrllrrr	Egypt_Egyptian	edge	-3.386299311906873e-20	2.2349509639915373e-20	-1.7170200355821717e-21
Rrllrrr	Rrllrrre	edge	5.253259332974122e-4	7.544025727205887e-4	6.34962915692126e-4
Rrllrrr_g	Morocco_BerberBouhria	edge	-1.519583489846976e-19	9.693957552682056e-20	-5.8712573987525134e-21
Rrllrrr_g	Rrllrrr	edge	8.779176960468673e-4	0.0012095927958471614	0.0010489607792111858
Rrllrrre	Yemen_Yemeni	edge	4.922787023931174e-4	8.219574296034786e-4	6.599392387544254e-4
Rrllrrre	admix	edge	9.806402643668273e-4	0.0012379139029647106	0.0011206775247449778
Rrr	Rrrr	edge	0.0029143657482620755	0.007937581530952309	0.005654518813348483
Rrr	aDNA_Morocco_Iberomaurusian	edge	0.016688730636671156	0.020506124960951146	0.01866083473297272
Rrrl	Europe_IBS	edge	3.437572795630593e-4	6.481429125411764e-4	4.948070296390698e-4
Rrrl	Europe_TSI	edge	-6.935618451227228e-21	7.052422353063307e-5	1.0635594345196215e-5
Rrrr	aDNA_Morocco_EN.SG	edge	0.09488146850016549	0.10127401844838951	0.09809124874480034
Rrrr	aDNA_Morocco_Epipalaeolithic	edge	0.1171527794683046	0.12291744689241434	0.11981634327824493
Rs	Rrll	edge	0.008671038549579528	0.01142870394001297	0.010099888192623583
Rs	aDNA_Cameroon_SMA	edge	0.008407132625647507	0.011398614483644808	0.009874530721531717
Senegal_Bedik_m	Mauritania_Fulani_Assaba_w	edge	-1.8305551490317534e-20	1.6103921610169554e-4	4.306419067325032e-5
Senegal_Bedik_m	Senegal_Bedik	edge	0.0014570147941432453	0.0019006188474407055	0.0017062703338603278
admix	Lebanon_LebaneseMuslim	edge	-3.5466977580543165e-20	2.535451806977975e-20	-5.967490144820894e-22
admix	Rrrl	edge	0.001497567006077457	0.0017880112499573213	0.0016521031142657824
admixi	Chad_Daza	edge	0.0011145841697227448	0.0016639979764207094	0.001393116205894006
admixi	Rrllrr_sf	edge	0.004619118046999232	0.005192041463565471	0.0048929309857634554
admixs	Mauritania_Fulani_Assaba	edge	0.0012594865276046449	0.0017954144698094977	0.0015483812769258567
