Population,Ind,F_ROH,Mean_ROH_size,Sum_short_ROH,Sum_long_ROH,Total_length_ROH,class_1_ROH,class_2_ROH,class_3_ROH,class_4_ROH,class_5_ROH,class_6_ROH,class_7_ROH
Mauritania_Fulani_Assaba,fma03,0.001029326,1.5439885,111.643391,3.087977,0.002,55.040014,44.432746,15.258608,NA,NA,NA,NA
Mauritania_Fulani_Assaba,fma07,0.016726576,2.951748706,143.162065,50.179728,0.017,63.632094,56.350546,35.099604,11.808493,19.231549,7.219507,NA
Mauritania_Fulani_Assaba,fma08,0.019806713,4.244295643,140.649802,59.420139,0.014,60.656968,56.644746,28.339921,17.497585,5.26338,17.543672,14.123669
Mauritania_Fulani_Assaba,fma09,0.010873434,2.965481909,138.909704,32.620301,0.011,68.31727,51.531274,26.254738,12.746306,4.47099,8.209427,NA
Mauritania_Fulani_Assaba,fma11,0.015651933,2.608655444,138.041106,46.955798,0.018,58.708609,55.252917,36.537684,27.00886,NA,7.488834,NA
Mauritania_Fulani_Assaba,fma14,0.02252839,4.827512214,137.538918,67.585171,0.014,70.341854,48.00347,24.612063,24.492449,NA,NA,11.230444
Mauritania_Fulani_Assaba,fma15,0.001104665,1.656997,109.89371,3.313994,0.002,58.126049,44.691013,10.390642,NA,NA,NA,NA
Mauritania_Fulani_Assaba,fma17,0.026149887,4.614685882,129.827994,78.44966,0.017,62.099584,53.532283,23.231346,26.295176,5.372564,NA,NA
Mauritania_Fulani_Assaba,fma18,0.000527811,1.583433,101.472798,1.583433,0.001,59.588822,35.353883,8.113526,NA,NA,NA,NA
Mauritania_Fulani_Assaba,fma19,0.010651201,3.1953603,123.437662,31.953603,0.01,56.51645,51.775411,24.293091,7.578868,NA,15.227445,NA
Mauritania_Fulani_Assaba,fma20,0.0108053,2.315421429,144.940253,32.4159,0.014,59.912297,64.216932,36.202871,11.54354,5.480513,NA,NA
Mauritania_Fulani_Assaba,fma24,0.010795135,2.491184923,129.137998,32.385404,0.013,63.021908,50.104603,25.941991,13.52803,8.92687,NA,NA
Mauritania_Fulani_Assaba,fma25,0.020040603,3.757613,132.991302,60.121808,0.016,65.228707,56.649337,21.707022,18.520904,10.429218,9.266751,11.311171
Mauritania_Fulani_Assaba,fma26,0.015673044,2.765831353,137.391274,47.019133,0.017,65.621254,51.234684,31.983381,23.570894,4.131617,7.868577,NA
Mauritania_Fulani_Assaba,fma27,0.007674061,1.918515333,121.43079,23.022184,0.012,57.465356,48.811532,28.577576,9.59851,NA,NA,NA
Mauritania_Fulani_Assaba,fma29,0.036469523,7.293904533,120.808732,109.408568,0.015,55.423742,49.021238,21.450133,21.640845,NA,NA,34.723501
Senegal_Fulani_Linguere,ffe01,0.001176634,1.7649515,117.21084,3.529903,0.002,58.437901,47.410884,14.891958,NA,NA,NA,NA
Senegal_Fulani_Linguere,ffe02,0.019942808,4.602186538,136.178431,59.828425,0.013,57.824481,57.879791,25.73979,12.531239,20.414876,NA,NA
Senegal_Fulani_Linguere,ffe03,0.095377218,15.05956068,103.803081,286.131653,0.019,47.817007,45.083324,16.035158,9.399077,19.215106,6.166607,36.155963
Senegal_Fulani_Linguere,ffe06,0.019811053,2.971658,143.480871,59.43316,0.02,74.702314,49.100893,24.868434,38.056038,9.989607,6.196745,NA
Senegal_Fulani_Linguere,ffe10,0.008313656,2.4940969,135.370807,24.940969,0.01,63.323094,59.630834,19.590138,13.73128,4.03643,NA,NA
Senegal_Fulani_Linguere,ffe12,0.012773394,2.554678867,165.512711,38.320183,0.015,70.079883,70.693833,36.913127,12.292551,13.8535,NA,NA
