FID	UMAP1	UMAP2
Mauritania_Fulani_Assaba:fma03	-6.856823991	4.008195613
Mauritania_Fulani_Assaba:fma07	-7.480934044	7.965627766
Mauritania_Fulani_Assaba:fma08	-7.158961453	9.572874457
Mauritania_Fulani_Assaba:fma09	-7.662637802	9.783881557
Mauritania_Fulani_Assaba:fma11	-8.082693656	9.251717262
Mauritania_Fulani_Assaba:fma14	-7.903232785	9.008948623
Mauritania_Fulani_Assaba:fma15	-5.604403384	3.858533117
Mauritania_Fulani_Assaba:fma17	-7.30469132	10.53291425
Mauritania_Fulani_Assaba:fma18	-4.81111996	9.882169312
Mauritania_Fulani_Assaba:fma19	-7.257544098	7.950201881
Mauritania_Fulani_Assaba:fma20	-7.262638742	9.184993029
Mauritania_Fulani_Assaba:fma24	-7.078457449	7.729937872
Mauritania_Fulani_Assaba:fma25	-7.561263459	8.330977552
Mauritania_Fulani_Assaba:fma26	-7.540413871	8.368520338
Mauritania_Fulani_Assaba:fma27	-5.873646995	5.064625418
Mauritania_Fulani_Assaba:fma29	-7.706070327	7.768966191
Gambia_Fula:195850_E02_TDT5142389	-5.928542424	1.969727457
Gambia_Fula:195851_G12_TDT5140551	-5.23959099	-0.552677808
Gambia_Fula:195852_A04_TDT5140830	-6.065912179	8.16685654
Gambia_Fula:195852_A11_TDT5140962	-1.737912803	-1.263689926
Gambia_Fula:195852_A12_TDT5140988	-6.182563786	10.85985041
Gambia_Fula:195852_B05_TDT5140852	-0.68544192	-1.568061695
Gambia_Fula:195852_C12_TDT5140994	-5.586108473	-1.252104014
Gambia_Fula:195852_D11_TDT5140970	-1.969303885	-0.687758179
Gambia_Fula:195852_F05_TDT5140860	0.479416492	-1.835083951
Gambia_Fula:195852_F10_TDT5140952	-2.130199308	-1.151366366
Gambia_Fula:195852_G04_TDT5140845	-6.286013299	5.073602227
Gambia_Fula:195852_G12_TDT5141002	-5.439282176	1.212114973
Gambia_Fula:195852_H10_TDT5140960	-0.812184988	-1.202605983
Gambia_Fula:195855_A02_TDT5141719	-7.680991834	9.590687422
Gambia_Fula:195855_G01_TDT5141711	-7.460085528	7.313303748
Gambia_Fula:195856_B09_TDT5142193	-7.633165832	8.055479652
Gambia_Fula:195856_C09_TDT5142201	-7.978743905	9.316144115
Gambia_Fula:195858_A01_TDT5140559	-4.702546614	0.330953169
Gambia_Fula:195858_A03_TDT5140599	-0.807159226	-1.863210287
Gambia_Fula:195858_A06_TDT5140674	-5.31809983	1.611739062
Gambia_Fula:195858_A07_TDT5140716	-1.147499755	-1.508294383
Gambia_Fula:195858_C02_TDT5140578	-2.772446196	-0.761256078
Gambia_Fula:195858_C03_TDT5140602	-0.572184339	-1.743949872
Gambia_Fula:195858_C05_TDT5140647	-2.269621794	-0.824427923
Gambia_Fula:195858_C06_TDT5140682	-7.023462271	7.605538286
Gambia_Fula:195858_D05_TDT5140655	-5.247524186	1.160332817
Gambia_Fula:195858_E02_TDT5140586	-4.660249026	0.480536175
Gambia_Fula:195858_E03_TDT5140607	-1.071585282	-1.216829108
Gambia_Fula:195858_E05_TDT5140662	-5.099860297	-0.954493022
Gambia_Fula:195858_E06_TDT5140692	-2.97718473	-0.643520115
Gambia_Fula:195858_E10_TDT5140770	-7.191340121	8.786975785
Gambia_Fula:195858_E11_TDT5140778	-7.710374238	9.202633457
Gambia_Fula:195858_F06_TDT5140700	-1.778097177	-1.291169379
Gambia_Fula:195858_F08_TDT5140751	-2.329178503	-1.372823666
Gambia_Fula:195858_G02_TDT5140594	-1.160393804	-1.302449811
Gambia_Fula:195858_G03_TDT5140610	-3.758227525	-0.248494869
Gambia_Fula:195858_G05_TDT5140670	-6.311544984	-2.077941268
Gambia_Fula:195858_G06_TDT5140708	-3.129208825	-0.533395314
Gambia_Fula:195858_H03_TDT5140614	-5.920799497	7.920495507
Gambia_Fula:195859_A03_TDT5141067	0.751320953	-1.710541276
Gambia_Fula:195859_A06_TDT5141141	-6.775698186	9.25040052
Gambia_Fula:195859_B01_TDT5141008	-6.448076987	7.45939342
Gambia_Fula:195859_B10_TDT5141204	-5.706524312	3.485708303
Gambia_Fula:195859_C03_TDT5141090	-5.902115205	5.195300028
Gambia_Fula:195859_C10_TDT5141210	-6.862575689	8.623024484
Gambia_Fula:195859_E01_TDT5141030	-0.509739841	-1.825546777
Gambia_Fula:195859_E05_TDT5141133	-5.842811083	2.356824018
Gambia_Fula:195859_E10_TDT5141212	-2.284406174	-0.554149785
Gambia_Fula:195859_E11_TDT5141237	-7.401403931	7.672647224
Gambia_Fula:195859_F01_TDT5141038	-0.412227303	-1.519675667
Gambia_Fula:195859_F03_TDT5141094	-3.226887274	-0.808948807
Gambia_Fula:195859_F11_TDT5141241	-7.069015426	10.53044502
Gambia_Fula:195859_G02_TDT5141059	0.295718514	-1.863948872
Gambia_Fula:195859_G03_TDT5141095	-8.013619282	8.764837117
Gambia_Fula:195859_H03_TDT5141098	-5.930360865	5.737569612
Gambia_Fula:195859_H04_TDT5141119	-5.615393474	1.868238439
Gambia_Fula:195859_H07_TDT5141169	0.956201451	-3.746244735
Gambia_Fula:195859_H11_TDT5141245	-5.743430872	5.127124321
Gambia_Fula:195863_A02_TDT5141285	-5.752655991	5.493493779
Gambia_Fula:195863_A03_TDT5141310	-6.414257636	8.820631553
Gambia_Fula:195863_A05_TDT5141390	-5.262337424	3.934596387
Gambia_Fula:195863_A08_TDT5141441	-5.325550191	3.379949383
Gambia_Fula:195863_D02_TDT5141292	0.782747307	-2.656556229
Gambia_Fula:195863_D05_TDT5141397	-4.51862497	0.340877055
Gambia_Fula:195863_E02_TDT5141293	-6.817444719	8.562206094
Gambia_Fula:195863_E07_TDT5141433	-6.980304276	3.454415745
Gambia_Fula:195863_H01_TDT5141284	0.296773655	-2.099696012
